Pos.,No.,Driver,Constructor,Laps,Time/Retired,Grid,Pts.
1,44,Lewis Hamilton,Mercedes,71,1:27:38.107,1,25
2,33,Max Verstappen,Red Bull Racing-TAG Heuer,71,+5.719,8,18
3,7,Kimi Räikkönen,Ferrari,71,+6.024,4,15
4,6,Nico Rosberg,Mercedes,71,+26.710,6,12
5,3,Daniel Ricciardo,Red Bull Racing-TAG Heuer,71,+30.981,5,10
6,22,Jenson Button,McLaren-Honda,71,+37.706,3,8
7,8,Romain Grosjean,Haas-Ferrari,71,+44.668,13,6
8,55,Carlos Sainz Jr.,Toro Rosso-Ferrari,71,+47.400,15,4
9,77,Valtteri Bottas,Williams-Mercedes,70,+1 lap,7,2
10,94,Pascal Wehrlein,MRT-Mercedes,70,+1 lap,12,1
11,21,Esteban Gutiérrez,Haas-Ferrari,70,+1 lap,11,
12,30,Jolyon Palmer,Renault,70,+1 lap,19,
13,12,Felipe Nasr,Sauber-Ferrari,70,+1 lap,21,
14,20,Kevin Magnussen,Renault,70,+1 lap,17,
15,9,Marcus Ericsson,Sauber-Ferrari,70,+1 lap,18,
16,88,Rio Haryanto,MRT-Mercedes,70,+1 lap,20,
17,11,Sergio Pérez,Force India-Mercedes,69,Accident,16,
18,14,Fernando Alonso,McLaren-Honda,64,Battery,14,
19,27,Nico Hülkenberg,Force India-Mercedes,64,Brakes,2,
20,19,Felipe Massa,Williams-Mercedes,63,Brakes,PL,
Ret,5,Sebastian Vettel,Ferrari,26,Tyre,9,
Ret,26,Daniil Kvyat,Toro Rosso-Ferrari,2,Mechanical,PL,
Source:
Total Laps,71
Fastest Lap,Lewis Hamilton
