Pos.,No.,Driver,Constructor,Q1,Q2,Grid
1,6,Nico Rosberg,Mercedes,1:56.671,1:56.824,1
2,44,Lewis Hamilton,Mercedes,1:56.871,1:56.929,2
3,3,Daniel Ricciardo,Red Bull Racing-Renault,1:56.495,1:57.969,3
4,26,Daniil Kvyat,Red Bull Racing-Renault,1:57.640,1:58.434,4
5,5,Sebastian Vettel,Ferrari,2:00.950,1:58.596,13
6,11,Sergio Pérez,Force India-Mercedes,1:59.284,1:59.210,5
7,27,Nico Hülkenberg,Force India-Mercedes,1:58.325,1:59.333,6
8,7,Kimi Räikkönen,Ferrari,1:58.198,1:59.703,18
9,19,Felipe Massa,Williams-Mercedes,2:00.902,1:59.999,7
10,33,Max Verstappen,Toro Rosso-Renault,1:58.689,2:00.199,8
11,14,Fernando Alonso,McLaren-Honda,1:59.704,2:00.265,9
12,77,Valtteri Bottas,Williams-Mercedes,1:59.569,2:00.334,16
13,8,Romain Grosjean,Lotus-Mercedes,2:00.236,2:00.595,10
14,22,Jenson Button,McLaren-Honda,2:00.261,2:01.193,11
15,13,Pastor Maldonado,Lotus-Mercedes,2:00.844,2:01.604,12
16,9,Marcus Ericsson,Sauber-Ferrari,2:02.212,,14
17,12,Felipe Nasr,Sauber-Ferrari,2:03.194,,15
18,53,Alexander Rossi,Marussia-Ferrari,2:04.176,,17
19,28,Will Stevens,Marussia-Ferrari,2:04.526,,19
107% Time: 2:04.653
NC,55,Carlos Sainz Jr.,Toro Rosso-Renault,2:07.304,,20
Source:
