Pos.,No.,Driver,Constructor,Q1,Q2,Q3,Grid
1,44,Lewis Hamilton,Mercedes,1:33.928,1:32.669,1:32.571,1
2,5,Sebastian Vettel,Ferrari,1:34.919,1:33.623,1:32.982,2
3,6,Nico Rosberg,Mercedes,1:34.398,1:33.878,1:33.129,3
4,7,Kimi Räikkönen,Ferrari,1:34.568,1:33.540,1:33.227,4
5,77,Valtteri Bottas,Williams-Mercedes,1:34.161,1:33.897,1:33.381,5
6,19,Felipe Massa,Williams-Mercedes,1:34.488,1:33.551,1:33.744,6
7,3,Daniel Ricciardo,Red Bull Racing-Renault,1:34.691,1:34.403,1:33.832,7
8,27,Nico Hülkenberg,Force India-Mercedes,1:35.653,1:34.613,1:34.450,8
9,55,Carlos Sainz Jr.,Toro Rosso-Renault,1:35.371,1:34.641,1:34.462,9
10,8,Romain Grosjean,Lotus-Mercedes,1:35.007,1:34.123,1:34.484,10
11,11,Sergio Pérez,Force India-Mercedes,1:35.451,1:34.704,,11
12,12,Felipe Nasr,Sauber-Ferrari,1:35.310,1:34.737,,12
13,9,Marcus Ericsson,Sauber-Ferrari,1:35.438,1:35.034,,13
14,14,Fernando Alonso,McLaren-Honda,1:35.205,1:35.039,,14
15,33,Max Verstappen,Toro Rosso-Renault,1:35.611,1:35.103,,15
16,13,Pastor Maldonado,Lotus-Mercedes,1:35.677,,,16
17,26,Daniil Kvyat,Red Bull Racing-Renault,1:35.800,,,17
18,28,Will Stevens,Marussia-Ferrari,1:38.713,,,18
19,98,Roberto Merhi,Marussia-Ferrari,1:39.722,,,19
107% time: 1:40.502
—,22,Jenson Button,McLaren-Honda,no time,,,20
Source:
